title,note,pitch,fingering,is_chord,is_rest,hand,finger
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,0,0
data/Fur_Elise_Easy.mxl,D4,62,1,False,False,0,1
data/Fur_Elise_Easy.mxl,C5,72,5,False,False,0,5
data/Fur_Elise_Easy.mxl,B4,71,0,False,False,0,0
data/Fur_Elise_Easy.mxl,A4,69,0,False,False,0,0
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,0,0
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,False,False,1,5
data/Fur_Elise_Easy.mxl,E3,52,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,E3,52,3,False,False,1,3
data/Fur_Elise_Easy.mxl,G#3,56,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,False,False,1,5
data/Fur_Elise_Easy.mxl,E3,52,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,False,False,1,5
data/Fur_Elise_Easy.mxl,E3,52,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,E3,52,3,False,False,1,3
data/Fur_Elise_Easy.mxl,G#3,56,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,False,False,1,5
data/Fur_Elise_Easy.mxl,E3,52,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,C3,48,5,False,False,1,5
data/Fur_Elise_Easy.mxl,G3,55,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,G2,43,5,False,False,1,5
data/Fur_Elise_Easy.mxl,G3,55,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,False,False,1,5
data/Fur_Elise_Easy.mxl,E3,52,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,E3,52,0,False,False,1,0
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,False,False,1,5
data/Fur_Elise_Easy.mxl,E3,52,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,E3,52,3,False,False,1,3
data/Fur_Elise_Easy.mxl,G#3,56,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,False,False,1,5
data/Fur_Elise_Easy.mxl,E3,52,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,False,False,1,5
data/Fur_Elise_Easy.mxl,E3,52,1,False,False,1,1
